gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,study_hours,family_income,commute_time,absences
male,group B,some college,free/reduced,completed,74,77,76,19,13766.0,144,6
female,group D,some high school,free/reduced,completed,40,65,64,10,46123.0,143,5
male,group E,master's degree,standard,none,90,85,84,3,17191.0,130,1
male,group C,master's degree,standard,completed,91,85,85,14,30638.0,20,6
male,group D,high school,standard,none,64,54,50,5,45144.0,63,6
female,group C,high school,standard,none,59,72,68,16,23893.0,89,3
male,group D,associate's degree,standard,none,80,75,69,5,14355.0,35,4
male,group C,master's degree,standard,none,71,67,67,18,20145.0,61,4
female,group A,high school,standard,none,61,68,63,1,36635.0,169,4
female,group E,some college,standard,none,87,85,93,14,24419.0,75,5
male,group E,some high school,standard,none,82,67,61,10,12057.0,169,7
male,group C,some high school,standard,none,62,64,55,7,29683.0,12,7
female,group B,bachelor's degree,standard,none,97,97,96,18,32363.0,10,5
male,group B,some college,free/reduced,none,75,68,65,12,18441.0,53,13
female,group C,bachelor's degree,standard,none,65,79,81,11,29885.0,15,8
male,group B,high school,standard,completed,52,49,46,4,24897.0,7,2
male,group C,associate's degree,free/reduced,none,87,73,72,5,19956.0,103,3
female,group C,associate's degree,standard,none,53,62,53,3,11536.0,58,5
female,group E,master's degree,free/reduced,none,81,86,87,18,37759.0,56,9
male,group D,bachelor's degree,free/reduced,completed,39,42,38,19,32196.0,39,7
female,group C,some college,standard,completed,71,71,80,0,29494.0,129,6
male,group C,associate's degree,standard,none,97,93,91,19,47680.0,93,7
male,group D,some college,standard,completed,82,82,88,16,35334.0,137,5
male,group C,high school,free/reduced,none,59,53,52,11,31048.0,43,6
male,group B,associate's degree,standard,none,61,42,41,14,7284.0,138,4
male,group E,associate's degree,free/reduced,completed,78,74,72,0,40073.0,79,3
male,group C,associate's degree,free/reduced,none,49,51,51,13,22961.0,80,7
male,group B,high school,standard,none,59,58,47,5,25751.0,1,6
female,group C,some college,standard,completed,70,72,76,4,25840.0,177,4
male,group B,associate's degree,standard,completed,82,84,78,10,32433.0,139,5
male,group E,associate's degree,free/reduced,none,90,90,82,3,38603.0,114,5
female,group C,bachelor's degree,free/reduced,none,43,62,61,12,30246.0,89,3
male,group C,some college,free/reduced,none,80,64,66,10,27935.0,22,2
male,group D,some college,standard,none,81,82,84,2,24730.0,145,1
male,group C,some high school,standard,none,57,61,54,0,4122.0,61,3
female,group D,some high school,standard,none,59,72,80,5,19076.0,112,2
female,group D,associate's degree,standard,none,64,76,74,17,13756.0,127,6
male,group C,bachelor's degree,standard,completed,63,64,66,9,40351.0,61,4
female,group E,bachelor's degree,standard,completed,71,70,70,4,30017.0,37,4
female,group B,high school,free/reduced,none,64,73,71,9,17517.0,165,7
male,group D,bachelor's degree,free/reduced,none,55,46,44,11,18419.0,60,4
female,group E,associate's degree,standard,none,51,51,54,1,18088.0,128,3
female,group C,associate's degree,standard,completed,62,76,80,12,17927.0,172,4
female,group E,associate's degree,standard,completed,93,100,95,7,10697.0,155,4
male,group C,high school,free/reduced,none,54,72,59,1,9598.0,148,5
female,group D,some college,free/reduced,none,69,65,74,19,22349.0,121,6
male,group D,high school,free/reduced,none,44,51,48,0,37709.0,109,3
female,group E,some college,standard,completed,86,85,91,4,16834.0,12,4
female,group E,associate's degree,standard,none,85,92,85,8,25635.0,154,3
female,group A,master's degree,free/reduced,none,50,67,73,16,31797.0,99,2
male,group D,some high school,standard,completed,88,74,75,8,13404.0,134,0
female,group E,associate's degree,standard,none,59,62,69,10,21808.0,21,5
female,group E,some high school,free/reduced,none,32,34,38,14,15784.0,73,4
male,group B,high school,free/reduced,none,36,29,27,5,49171.0,180,7
female,group B,some high school,free/reduced,completed,63,78,79,2,48109.0,131,1
male,group D,associate's degree,standard,completed,67,54,63,16,13411.0,22,3
female,group D,some high school,standard,completed,65,78,82,4,26714.0,118,5
male,group D,master's degree,standard,none,85,84,89,11,37564.0,69,5
female,group C,master's degree,standard,none,73,78,74,17,33663.0,83,7
female,group A,high school,free/reduced,completed,34,48,41,13,22943.0,100,2
female,group D,bachelor's degree,free/reduced,completed,93,100,100,20,42331.0,83,4
female,group D,some high school,free/reduced,none,67,84,84,10,14013.0,160,4
male,group D,some college,standard,none,88,77,77,8,18929.0,27,4
male,group B,high school,standard,none,57,48,51,1,14203.0,135,6
female,group D,some college,standard,completed,79,84,91,11,32573.0,0,8
female,group C,bachelor's degree,free/reduced,none,67,75,72,2,16460.0,164,6
male,group E,bachelor's degree,standard,completed,70,64,70,2,20219.0,62,5
male,group D,bachelor's degree,free/reduced,none,50,42,48,0,29996.0,21,3
female,group A,some college,standard,none,69,84,82,7,31230.0,69,2
female,group C,bachelor's degree,standard,completed,52,61,66,7,13995.0,124,7
female,group C,bachelor's degree,free/reduced,completed,47,62,66,10,37359.0,148,3
female,group B,associate's degree,free/reduced,none,46,61,55,8,27663.0,95,6
female,group E,some college,standard,none,68,70,66,4,12825.0,162,2
male,group E,bachelor's degree,standard,completed,100,100,100,13,11341.0,78,7
female,group C,high school,standard,none,44,61,52,2,21853.0,4,4
female,group C,associate's degree,standard,completed,57,77,80,20,33693.0,59,9
male,group B,some college,standard,completed,91,96,91,4,34127.0,119,9
male,group D,high school,free/reduced,none,69,70,67,4,26320.0,45,3
female,group C,high school,free/reduced,none,35,53,46,18,22569.0,177,10
male,group D,high school,standard,none,72,66,66,13,28449.0,375,8
female,group B,associate's degree,free/reduced,none,54,65,65,3,14362.0,133,3
male,group D,high school,free/reduced,none,74,70,69,12,51200.0,55,6
male,group E,some high school,standard,completed,74,64,60,9,50867.0,109,5
male,group E,associate's degree,free/reduced,none,64,56,52,17,27294.0,156,4
female,group D,high school,free/reduced,completed,65,61,71,7,24310.0,103,1
male,group E,associate's degree,free/reduced,completed,46,43,44,7,17931.0,76,3
female,group C,some high school,free/reduced,none,48,56,51,6,28692.0,145,5
male,group C,some college,free/reduced,completed,67,74,70,7,15589.0,1,5
male,group D,some college,free/reduced,none,62,57,62,13,7246.0,7,7
male,group D,associate's degree,free/reduced,completed,61,71,73,18,5670.0,74,2
male,group C,bachelor's degree,free/reduced,completed,70,75,74,5,14768.0,124,4
male,group C,associate's degree,standard,completed,98,87,90,0,23818.0,37,4
male,group D,some college,free/reduced,none,70,63,58,14,26003.0,175,4
male,group A,associate's degree,standard,none,67,57,53,0,17268.0,26,8
female,group E,high school,free/reduced,none,57,58,57,16,23645.0,19,9
male,group D,some college,standard,completed,85,81,85,0,19204.0,139,6
male,group D,some high school,standard,completed,77,68,69,14,13364.0,42,3
male,group C,master's degree,free/reduced,completed,72,66,72,1,21442.0,30,5
female,group D,master's degree,standard,none,78,91,96,13,33073.0,90,5
male,group C,high school,standard,none,81,66,64,20,13670.0,60,4
male,group A,some high school,free/reduced,completed,61,62,61,7,13673.0,108,3
female,group B,high school,standard,none,58,68,61,7,258100.0,90,2
female,group C,associate's degree,standard,none,54,61,58,18,8364.0,162,3
male,group B,high school,standard,none,82,82,80,6,17325.0,94,3
female,group D,some college,free/reduced,none,49,58,60,18,31478.0,142,6
male,group B,some high school,free/reduced,completed,49,50,52,5,24028.0,143,6
female,group E,high school,free/reduced,completed,57,75,73,5,20239.0,12,2
male,group E,high school,standard,none,94,73,71,2,23495.0,112,2
female,group D,some college,standard,completed,75,77,83,6,17249.0,34,3
female,group E,some high school,free/reduced,none,74,74,72,18,8317.0,148,10
male,group C,high school,standard,completed,58,52,54,7,32593.0,157,1
female,group C,some college,standard,none,62,69,69,9,37630.0,47,4
male,group E,associate's degree,standard,none,72,57,62,19,15305.0,34,3
male,group C,some college,standard,none,84,87,81,14,20426.0,85,8
female,group D,master's degree,standard,none,92,100,100,14,19565.0,165,1
female,group D,high school,standard,none,45,63,59,0,26256.0,158,8
male,group C,high school,standard,none,75,81,71,19,51274.0,151,8
female,group A,some college,standard,none,56,58,64,6,39336.0,113,5
female,group D,some high school,free/reduced,none,48,54,53,3,18243.0,176,9
female,group E,associate's degree,standard,none,100,100,100,5,28889.0,99,5
female,group C,some high school,free/reduced,completed,65,76,75,0,41241.0,159,10
male,group D,some college,standard,none,72,57,58,4,27016.0,98,9
female,group D,some college,standard,none,62,70,72,0,21975.0,2,4
male,group A,some high school,standard,completed,66,68,64,3,27529.0,84,5
male,group C,some college,standard,none,63,63,60,1,15496.0,124,7
female,group E,associate's degree,standard,none,68,76,67,9,16670.0,137,8
female,group B,bachelor's degree,standard,none,75,84,80,4,12939.0,82,4
female,group D,bachelor's degree,standard,none,89,100,100,9,25682.0,24,2
male,group C,some high school,standard,completed,78,72,69,0,20626.0,67,8
female,group A,high school,free/reduced,completed,53,50,60,5,14595.0,60,7
female,group D,some college,free/reduced,none,49,65,61,12,20291.0,28,5
female,group A,some college,standard,none,54,63,67,14,27861.0,126,9
female,group C,some college,standard,completed,64,82,77,3,57375.0,18,8
male,group B,some college,free/reduced,completed,60,62,60,12,36535.0,170,6
male,group C,associate's degree,standard,none,62,65,58,19,7030.0,73,6
male,group D,high school,standard,completed,55,41,48,14,24826.0,60,5
female,group C,associate's degree,standard,none,91,95,94,7,45011.0,170,4
female,group B,high school,free/reduced,none,8,24,23,4,11283.0,152,9
male,group D,some high school,standard,none,81,78,78,14,29021.0,19,2
male,group B,some high school,standard,completed,79,85,86,3,19569.0,47,8
female,group A,some college,standard,completed,78,87,91,11,39150.0,86,5
female,group C,some high school,standard,none,74,75,82,12,26961.0,151,4
male,group A,high school,standard,none,57,51,54,1,14157.0,138,5
female,group C,associate's degree,standard,none,40,59,51,18,19922.0,109,3
male,group E,some high school,standard,completed,81,75,76,18,20520.0,27,8
female,group A,some high school,free/reduced,none,44,45,45,3,20711.0,58,7
female,group D,some college,free/reduced,completed,67,86,83,3,38547.0,132,4
male,group E,high school,free/reduced,completed,86,81,75,10,14453.0,50,2
female,group B,some high school,standard,completed,65,82,78,4,36371.0,148,3
female,group D,associate's degree,free/reduced,none,55,76,76,19,18937.0,11,2
female,group D,bachelor's degree,free/reduced,none,62,72,74,10,24631.0,49,7
male,group A,high school,standard,none,63,63,62,9,22838.0,131,5
female,group E,master's degree,standard,completed,88,99,95,7,21788.0,112,6
male,group C,high school,free/reduced,none,62,55,55,5,21877.0,169,2
female,group C,high school,free/reduced,completed,59,71,65,5,45646.0,165,6
female,group D,some college,standard,completed,68,78,77,7,33565.0,152,3
female,group D,some college,free/reduced,none,77,86,86,14,18373.0,13,3
